procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0    512 516420 145832 1256988    0    0     0     3   28   57  0  0 100  0  0
 4  0    512 516420 145856 1257000    0    0     0     2   30   61  0  0 100  0  0
 1  0    512 515916 145904 1257012    0    0     0     8   31   63  0  0 100  0  0
 1  0    512 515656 145952 1257160    0    0     1     4   33   66  0  0 100  0  0
 1  0    512 515656 145992 1257172    0    0     0    12   31   60  0  0 100  0  0
 1  0    512 515656 146032 1257176    0    0     0     3   30   60  0  0 100  0  0
 1  0    512 515404 146064 1257200    0    0     0     3   30   59  0  0 100  0  0
 1  0    512 515404 146096 1257212    0    0     0     3   28   59  0  0 100  0  0
 1  0    512 515396 146180 1257232    0    0     0     7   44   85  0  0 100  0  0
 1  0    512 515396 146220 1257244    0    0     0    14   31   61  0  0 100  0  0
 1  0    512 515396 146248 1257248    0    0     0     2   30   60  0  0 100  0  0
 1  0    512 515396 146284 1257260    0    0     0     2   31   62  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 514316 146340 1257416    0    0     1    12   41   77  0  0 100  0  0
 1  0    512 515648 146380 1257356    0    0     0    14   33   63  0  0 100  0  0
 1  0    512 515648 146412 1257368    0    0     0     3   29   58  0  0 100  0  0
 3  0    512 515648 146448 1257364    0    0     0     2   30   59  0  0 100  0  0
 1  0    512 515900 146480 1257376    0    0     0     3   38   70  0  0 100  0  0
 1  0    512 515380 146536 1257572    0    0     2    18   39   70  0  0 100  0  0
 1  0    512 515348 146568 1257580    0    0     0     3   32   61  0  0 100  0  0
 1  0    512 515348 146596 1257588    0    0     0     2   35   64  0  0 100  0  0
 1  0    512 514844 146792 1257704    0    0     4     4   45   79  0  0 100  0  0
 1  0    512 514096 146840 1257724    0    0     1    12   36   69  0  0 100  0  0
 1  0    512 517380 146904 1257724    0    0     0    20   36   67  0  0 100  0  0
 1  0    512 517380 146928 1257732    0    0     0     4   28   57  0  0 100  0  0
 3  0    512 517380 146952 1257740    0    0     0     2   28   57  0  0 100  0  0
 1  0    512 517932 146976 1257820    0    0     2    12   32   64  0  0 100  0  0
 2  0    512 517932 147000 1257836    0    0     0     3   29   58  0  0 100  0  0
 1  0    512 517932 147040 1257844    0    0     0     3   28   58  0  0 100  0  0
